# Spacecraft Trajectory — apollo13 (Earth-Moon)
time_h,x_km,y_km,vx_kmh,vy_kmh,speed_kmh,dist_Earth_km,dist_Moon_km,bx_Earth_km,by_Earth_km,bx_Moon_km,by_Moon_km
0.020000,-6531.813,774.261,2387.6662,38509.8354,38583.7838,6577.542,390932.580,0.000,0.000,384400.000,-0.000
0.420000,-224.178,12193.037,20363.6088,18759.6299,27687.5474,12195.098,384817.434,0.000,0.000,384400.039,0.000
0.820000,7751.638,17649.098,18714.1061,10250.0368,21337.3152,19276.373,377061.786,0.000,0.000,384400.147,-0.000
1.220000,14925.750,20826.739,16693.5478,6620.0895,17958.2884,25622.863,370061.097,0.000,0.000,384400.326,0.000
1.620000,21384.546,22882.694,15094.9094,4614.5007,15784.4831,31319.587,363736.518,0.000,0.000,384400.575,0.000
2.020000,27277.458,24259.642,13826.8565,3333.0539,14222.9114,36504.656,357946.475,0.000,0.000,384400.894,0.000
2.420000,32713.338,25174.076,12791.2811,2437.8129,13021.5132,41278.282,352587.783,0.000,0.000,384401.283,0.000
2.820000,37769.201,25749.058,11922.2437,1773.8107,12053.4767,45711.340,347587.590,0.000,0.000,384401.743,0.000
3.220000,42501.016,26061.876,11176.4220,1259.8286,11247.2031,49855.368,342893.118,0.000,0.000,384402.272,0.000
3.620000,46950.766,26164.632,10524.5830,849.0680,10558.7766,53749.069,338464.934,0.000,0.000,384402.872,0.000
4.020000,51150.849,26094.363,9946.3353,512.5895,9959.5348,57422.340,334272.752,0.000,0.000,384403.541,-0.000
4.420000,55126.883,25878.502,9427.0042,231.4925,9429.8461,60898.852,330292.751,0.000,0.000,384404.281,0.000
4.820000,58899.544,25538.055,8955.7336,-7.1157,8955.7365,64197.730,326505.824,0.000,0.000,384405.091,-0.000
5.220000,62485.813,25089.544,8524.2974,-212.3473,8526.9418,67334.701,322896.382,0.000,0.000,384405.971,0.000
5.620000,65899.843,24546.266,8126.3306,-390.8350,8135.7238,70322.887,319451.527,0.000,0.000,384406.921,0.000
6.020000,69153.586,23919.128,7756.8185,-547.5278,7776.1186,73173.377,316160.454,0.000,0.000,384407.940,0.000
6.420000,72257.246,23217.230,7411.7462,-686.1981,7443.4434,75895.648,313014.019,0.000,0.000,384409.030,0.000
6.820000,75219.622,22448.275,7087.8539,-809.7740,7133.9615,78497.876,310004.407,0.000,0.000,384410.190,0.000
7.220000,78048.364,21618.865,6782.4615,-920.5656,6844.6494,80987.174,307124.889,0.000,0.000,384411.420,0.000
7.620000,80750.174,20734.727,6493.3407,-1020.4206,6573.0306,83369.776,304369.628,0.000,0.000,384412.720,0.000
8.020000,83330.968,19800.880,6218.6201,-1110.8361,6317.0557,85651.183,301733.526,0.000,0.000,384414.090,0.000
8.420000,85795.994,18821.761,5956.7136,-1193.0380,6075.0124,87836.275,299212.108,0.000,0.000,384415.529,0.000
8.820000,88149.935,17801.328,5706.2657,-1268.0406,5845.4593,89929.408,296801.422,0.000,0.000,384417.039,0.000
9.220000,90396.993,16743.137,5466.1092,-1336.6904,5627.1744,91934.482,294497.961,0.000,0.000,384418.618,-0.000
9.620000,92540.951,15650.409,5235.2320,-1399.7000,5419.1156,93855.010,292298.599,0.000,0.000,384420.268,0.000
10.020000,94585.231,14526.078,5012.7506,-1457.6732,5220.3908,95694.163,290200.538,0.000,0.000,384421.987,0.000
10.420000,96532.939,13372.833,4797.8893,-1511.1255,5030.2328,97454.815,288201.260,0.000,0.000,384423.776,0.000
10.820000,98386.905,12193.153,4589.9633,-1560.4992,4847.9811,99139.579,286298.494,0.000,0.000,384425.635,0.000
11.220000,100149.714,10989.337,4388.3646,-1606.1764,4673.0660,100750.835,284490.178,0.000,0.000,384427.563,0.000
11.620000,101823.732,9763.524,4192.5507,-1648.4886,4504.9968,102290.756,282774.435,0.000,0.000,384429.561,0.000
12.020000,103411.135,8517.718,4002.0357,-1687.7247,4343.3518,103761.333,281149.550,0.000,0.000,384431.629,0.000
12.420000,104913.923,7253.800,3816.3819,-1724.1376,4187.7705,105164.390,279613.949,0.000,0.000,384433.766,0.000
12.820000,106333.943,5973.546,3635.1936,-1757.9496,4037.9474,106501.599,278166.178,0.000,0.000,384435.974,0.000
13.220000,107672.901,4678.640,3458.1116,-1789.3566,3893.6272,107774.502,276804.892,0.000,0.000,384438.250,0.000
13.620000,108932.375,3370.681,3284.8084,-1818.5319,3754.6004,108984.512,275528.840,0.000,0.000,384440.596,0.000
