# Spacecraft Trajectory — artemis1 (Earth-Moon)
time_h,x_km,y_km,vx_kmh,vy_kmh,speed_kmh,dist_Earth_km,dist_Moon_km,bx_Earth_km,by_Earth_km,bx_Moon_km,by_Moon_km
17.220000,24463.015,-18518.080,-9987.3740,-3640.5964,10630.2202,30681.565,360477.781,0.000,0.000,384464.836,0.000
17.620000,19844.922,-19072.721,-12079.3768,-2390.4323,12313.6311,27524.346,365121.441,0.000,0.000,384467.876,0.000
18.020000,14437.322,-18818.379,-14548.5867,-438.1674,14555.1834,23718.509,370511.866,0.000,0.000,384470.984,0.000
18.420000,8144.289,-17317.159,-17534.4835,2947.0361,17780.4143,19136.704,376728.095,0.000,0.000,384474.162,-0.000
18.820000,954.439,-13606.998,-20815.6534,10019.6757,23101.6304,13640.430,383764.275,0.000,0.000,384477.409,0.000
19.220000,-5881.315,-5058.422,-16780.5154,28742.9575,33282.7779,7757.416,390394.813,0.000,0.000,384480.725,0.000
19.620000,-2717.685,7849.429,18469.9461,26056.3347,31938.5580,8306.585,387281.349,0.000,0.000,384484.109,0.000
20.020000,6703.678,12608.869,20413.9367,9116.4774,22357.0788,14280.157,377994.242,0.000,0.000,384487.563,0.000
20.420000,14550.887,13242.730,17160.1943,2634.8992,17361.3065,19674.812,370177.147,0.000,0.000,384491.085,0.000
20.820000,20812.727,12279.777,14265.5597,-560.6554,14276.5727,24165.317,363889.204,0.000,0.000,384494.676,0.000
21.220000,25834.411,10523.482,11861.9168,-2437.0635,12109.6799,27895.528,358818.274,0.000,0.000,384498.335,0.000
21.620000,29850.712,8320.077,9814.7116,-3653.3157,10472.5966,30988.525,354748.933,0.000,0.000,384502.064,0.000
22.020000,33016.186,5852.705,8016.0943,-4487.4483,9186.6729,33530.921,351538.399,0.000,0.000,384505.861,0.000
22.420000,35436.027,3232.882,6391.9842,-5076.0183,8162.3173,35583.192,349088.669,0.000,0.000,384509.726,0.000
22.820000,37184.014,536.276,4890.7718,-5493.1382,7354.8771,37187.881,347330.060,0.000,0.000,384513.660,0.000
23.220000,38312.790,-2180.830,3474.8163,-5781.5746,6745.4394,38374.808,346211.741,0.000,0.000,384517.662,0.000
23.620000,38859.943,-4872.943,2115.0563,-5966.5795,6330.3661,39164.279,345696.136,0.000,0.000,384521.733,0.000
24.020000,38851.698,-7500.307,787.5544,-6062.5396,6113.4792,39569.041,345755.534,0.000,0.000,384525.871,0.000
24.420000,38305.158,-10025.522,-528.8796,-6076.2267,6099.2003,39595.407,346370.043,0.000,0.000,384530.079,0.000
24.820000,37229.613,-12410.889,-1854.5241,-6008.1841,6287.8880,39243.780,347526.421,0.000,0.000,384534.354,0.000
25.220000,35627.161,-14615.908,-3210.4083,-5852.8199,6675.4942,38508.692,349217.532,0.000,0.000,384538.697,0.000
25.620000,33492.781,-16594.406,-4620.1183,-5597.2450,7257.7300,37378.345,351442.324,0.000,0.000,384543.108,0.000
26.020000,30813.878,-18290.719,-6112.1059,-5218.3723,8036.7436,35833.580,354206.279,0.000,0.000,384547.588,0.000
26.420000,27569.279,-19633.921,-7723.0248,-4676.9384,9028.7798,33846.063,357522.378,0.000,0.000,384552.135,0.000
26.820000,23727.634,-20528.217,-9502.9339,-3905.1268,10274.0337,31375.282,361412.587,0.000,0.000,384556.750,0.000
27.220000,19245.427,-20835.350,-11523.6356,-2779.0798,11854.0061,28363.679,365909.682,0.000,0.000,384561.432,-0.000
27.620000,14066.094,-20338.729,-13890.7159,-1050.3134,13930.3678,24728.908,371057.920,0.000,0.000,384566.183,0.000
28.020000,8129.052,-18659.587,-16745.7882,1856.6622,16848.4011,20353.420,376904.127,0.000,0.000,384571.001,0.000
28.420000,1446.315,-15021.157,-20077.9171,7600.9011,21468.4991,15090.626,383423.922,0.000,0.000,384575.886,0.000
28.820000,-5202.794,-7449.557,-20356.5337,22334.0364,30219.1603,9086.526,389854.814,0.000,0.000,384580.839,0.000
29.220000,-4326.317,5705.395,12657.6439,32535.3314,34910.7968,7160.206,388954.023,0.000,0.000,384585.860,0.000
29.620000,5547.024,11537.734,21021.9686,11894.5678,24153.7555,12801.905,379219.482,0.000,0.000,384590.947,0.000
30.020000,13924.385,12068.424,17950.5693,3843.4789,18357.4309,18426.485,370868.129,0.000,0.000,384596.102,-0.000
30.420000,20454.380,10796.410,14932.1721,104.9437,14932.5409,23128.859,364306.958,0.000,0.000,384601.324,0.000
30.820000,25589.907,8719.054,12424.4582,-2018.1641,12587.3011,27034.520,359122.565,0.000,0.000,384606.613,0.000
31.220000,29628.718,6227.903,10303.8918,-3368.8439,10840.6317,30276.190,355037.879,0.000,0.000,384611.969,0.000
31.620000,32760.285,3517.809,8453.9954,-4286.0317,9478.4021,32948.616,351874.691,0.000,0.000,384617.392,-0.000
32.020000,35110.826,702.484,6793.7801,-4931.0208,8394.6658,35117.852,349512.762,0.000,0.000,384622.882,0.000
32.420000,36767.896,-2143.176,5267.2180,-5389.5736,7535.9863,36830.305,347867.144,0.000,0.000,384628.438,0.000
32.820000,37793.914,-4964.543,3833.9297,-5710.6170,6878.2384,38118.586,346875.676,0.000,0.000,384634.061,0.000
33.220000,38233.942,-7717.938,2463.1791,-5923.0134,6414.7751,39005.139,346491.776,0.000,0.000,384639.751,0.000
33.620000,38120.358,-10365.336,1130.0528,-6043.5068,6148.2513,39504.454,346680.140,0.000,0.000,384645.507,-0.000
34.020000,37475.721,-12870.923,-187.1138,-6080.6242,6083.5025,39624.366,347414.110,0.000,0.000,384651.330,0.000
34.420000,36314.528,-15198.484,-1508.6638,-6036.4497,6222.1212,39366.723,348674.094,0.000,0.000,384657.219,0.000
34.820000,34644.210,-17308.974,-2855.2929,-5907.0210,6560.9141,38727.534,350446.680,0.000,0.000,384663.174,0.000
35.220000,32465.585,-19157.832,-4249.7922,-5681.5049,7095.0850,37696.641,352724.263,0.000,0.000,384669.195,0.000
35.620000,29772.853,-20691.444,-5719.1986,-5339.8152,7824.5038,36256.843,355505.091,0.000,0.000,384675.282,0.000
36.020000,26553.207,-21841.932,-7297.8259,-4847.6058,8761.1384,34382.304,358793.670,0.000,0.000,384681.435,0.000
36.420000,22786.147,-22518.663,-9031.9293,-4145.9974,9938.0602,32035.896,362601.422,0.000,0.000,384687.654,0.000
36.820000,18442.901,-22593.128,-10987.1935,-3129.2466,11424.1238,29164.877,366947.233,0.000,0.000,384693.939,-0.000
37.220000,13487.652,-21869.210,-13260.1742,-1590.8277,13355.2593,25693.951,371856.268,0.000,0.000,384700.289,0.000
37.620000,7888.245,-20016.965,-15987.3942,928.3785,16014.3267,21515.187,377349.746,0.000,0.000,384706.705,0.000
38.020000,1678.325,-16398.721,-19257.1538,5671.9622,20075.0872,16484.382,383385.737,0.000,0.000,384713.187,0.000
38.420000,-4603.227,-9517.184,-21498.4999,17068.2682,27450.1599,10571.967,389439.269,0.000,0.000,384719.733,0.000
38.820000,-5788.163,3126.509,2418.4178,36604.1401,36683.9449,6578.593,390527.024,0.000,0.000,384726.345,-0.000
39.220000,4112.800,10511.936,21263.7916,15476.6826,26299.7441,11287.866,380765.354,0.000,0.000,384733.023,0.000
39.620000,13097.231,11025.533,18756.0861,5291.0186,19488.0898,17120.158,371806.046,0.000,0.000,384739.765,0.000
40.020000,19921.273,9437.887,15627.5000,866.3694,15651.4968,22043.839,364947.356,0.000,0.000,384746.572,0.000
40.420000,25171.410,7024.316,13008.3177,-1550.9939,13100.4546,26133.138,359650.636,0.000,0.000,384753.444,0.000
40.820000,29224.230,4233.204,10807.9520,-3056.0142,11231.6984,29529.234,355561.351,0.000,0.000,384760.381,0.000
41.220000,32310.656,1272.147,8902.3119,-4065.9913,9786.9016,32335.690,352459.023,0.000,0.000,384767.382,0.000
41.620000,34580.768,-1743.677,7202.8975,-4772.6774,8640.6123,34624.701,350198.022,0.000,0.000,384774.448,0.000
42.020000,36137.211,-4741.071,5648.7542,-5275.7198,7729.2718,36446.889,348676.603,0.000,0.000,384781.579,-0.000
42.420000,37052.780,-7667.892,4196.4348,-5631.1948,7022.8498,37837.878,347820.526,0.000,0.000,384788.774,0.000
42.820000,37380.268,-10482.985,2813.3174,-5872.0507,6511.2007,38822.382,347573.887,0.000,0.000,384796.033,0.000
43.220000,37158.273,-13150.658,1473.3703,-6017.6245,6195.3712,39416.711,347893.724,0.000,0.000,384803.356,0.000
43.620000,36414.765,-15637.224,154.3464,-6078.3063,6080.2657,39630.265,348746.727,0.000,0.000,384810.743,0.000
44.020000,35169.309,-17908.435,-1164.2552,-6057.7447,6168.6110,39466.344,350107.204,0.000,0.000,384818.194,0.000
44.420000,33434.446,-19927.175,-2502.8945,-5953.5559,6458.2744,38922.416,351955.837,0.000,0.000,384825.708,0.000
44.820000,31216.500,-21650.941,-3883.6881,-5756.8171,6944.3485,37989.908,354278.979,0.000,0.000,384833.287,0.000
45.220000,28515.975,-23028.608,-5332.4264,-5450.1390,7624.8795,36653.481,357068.325,0.000,0.000,384840.928,-0.000
45.620000,25327.682,-23995.733,-6881.3416,-5003.4784,8508.0937,34889.636,360320.843,0.000,0.000,384848.634,0.000
46.020000,21640.786,-24467.065,-8573.2970,-4365.5793,9620.7954,32664.368,364038.763,0.000,0.000,384856.402,0.000
46.420000,17439.313,-24323.549,-10468.4889,-3445.7183,11020.9906,29929.328,368229.151,0.000,0.000,384864.234,0.000
46.820000,12704.849,-23387.577,-12655.0222,-2070.9240,12823.3503,26615.633,372901.412,0.000,0.000,384872.129,0.000
47.220000,7428.172,-21370.266,-15260.9904,129.4090,15261.5391,22624.456,378056.392,0.000,0.000,384880.087,0.000
47.620000,1661.300,-17741.205,-18418.1663,4103.9818,18869.8574,17818.818,383637.246,0.000,0.000,384888.107,0.000
48.020000,-4185.814,-11343.965,-21479.4812,13013.0483,25113.8913,12091.591,389247.341,0.000,0.000,384896.191,-0.000
48.420000,-6790.409,265.968,-9065.2595,34835.9837,35996.1760,6795.616,391694.836,0.000,0.000,384904.337,-0.000
48.820000,2384.166,9481.042,20684.9809,20133.0841,28865.3687,9776.217,382645.855,0.000,0.000,384912.545,0.000
49.220000,12068.023,10128.012,19553.9494,7052.5378,20786.9003,15754.802,372990.324,0.000,0.000,384920.816,0.000
49.620000,19222.721,8223.547,16352.0876,1745.0101,16444.9332,20907.886,365798.877,0.000,0.000,384929.149,0.000
50.020000,24591.109,5458.500,13615.2273,-1027.5237,13653.9452,25189.638,360387.774,0.000,0.000,384937.544,0.000
50.420000,28649.820,2355.013,11328.1833,-2711.1819,11648.1005,28746.448,356303.964,0.000,0.000,384946.001,0.000
