# Spacecraft Trajectory — earth-escape (Earth-Moon-Sun)
time_h,x_km,y_km,vx_kmh,vy_kmh,speed_kmh,dist_Earth_km,dist_Moon_km,dist_Sun_km,bx_Earth_km,by_Earth_km,bx_Moon_km,by_Moon_km,bx_Sun_km,by_Sun_km
33.050000,490656.518,714856.348,7497.9749,24432.1352,25556.7771,867042.915,722714.262,149867072.838,0.000,0.000,384372.432,0.000,-143291861.379,42984550.793
34.050000,512345.138,730908.514,7496.0215,24425.1311,25549.5082,892594.419,742027.530,149875904.009,0.000,0.000,384370.149,0.000,-142907442.436,44245861.513
35.050000,534378.687,746604.650,7494.1768,24418.4680,25542.5971,918138.924,761525.963,149884771.862,0.000,0.000,384367.727,0.000,-142511936.019,45503689.959
36.050000,556752.462,761939.981,7492.4334,24412.1171,25536.0142,943676.765,781197.744,149893676.476,0.000,0.000,384365.161,-0.000,-142105374.235,46757938.218
37.050000,579461.691,776909.764,7490.7843,24406.0527,25529.7328,969208.250,801032.145,149902617.919,0.000,0.000,384362.444,0.000,-141687790.045,48008508.747
38.050000,602501.535,791509.293,7489.2235,24400.2516,25523.7291,994733.663,821019.413,149911596.257,0.000,0.000,384359.571,0.000,-141259217.257,49255304.370
39.050000,625867.087,805733.897,7487.7455,24394.6931,25517.9816,1020253.265,841150.676,149920611.545,0.000,0.000,384356.535,0.000,-140819690.519,50498228.295
40.050000,649553.374,819578.950,7486.3453,24389.3584,25512.4709,1045767.298,861417.854,149929663.839,0.000,0.000,384353.329,0.000,-140369245.312,51737184.121
41.050000,673555.355,833039.866,7485.0186,24384.2305,25507.1794,1071275.984,881813.578,149938753.186,0.000,0.000,384349.948,0.000,-139907917.943,52972075.839
42.050000,697867.928,846112.108,7483.7611,24379.2940,25502.0912,1096779.533,902331.124,149947879.629,0.000,0.000,384346.383,0.000,-139435745.544,54202807.850
43.050000,722485.927,858791.184,7482.5691,24374.5349,25497.1918,1122278.135,922964.349,149957043.210,0.000,0.000,384342.628,0.000,-138952766.056,55429284.966
44.050000,747404.124,871072.656,7481.4393,24369.9404,25492.4681,1147771.971,943707.630,149966243.964,0.000,0.000,384338.677,0.000,-138459018.231,56651412.418
