# Spacecraft Trajectory — moon-impact (Earth-Moon)
time_h,x_km,y_km,vx_kmh,vy_kmh,speed_kmh,dist_Earth_km,dist_Moon_km,bx_Earth_km,by_Earth_km,bx_Moon_km,by_Moon_km
4.405000,153568.954,9748.904,31286.3043,3519.1179,31483.5994,153878.084,231041.070,0.000,0.000,384404.252,0.000
4.505000,156718.196,9816.127,31265.1229,3516.8545,31462.2977,157025.314,227897.752,0.000,0.000,384404.447,0.000
4.605000,159865.625,9877.149,31244.7803,3514.6774,31441.8392,160170.459,224756.158,0.000,0.000,384404.647,0.000
4.705000,163011.312,9931.980,31225.2278,3512.5819,31422.1750,163313.601,221616.207,0.000,0.000,384404.851,0.000
4.805000,166155.327,9980.630,31206.4206,3510.5632,31403.2600,166454.816,218477.822,0.000,0.000,384405.059,0.000
4.905000,169297.732,10023.108,31188.3172,3508.6173,31385.0525,169594.176,215340.931,0.000,0.000,384405.272,0.000
5.005000,172438.587,10059.423,31170.8791,3506.7402,31367.5140,172731.752,212205.466,0.000,0.000,384405.489,0.000
5.105000,175577.948,10089.583,31154.0709,3504.9283,31350.6085,175867.607,209071.362,0.000,0.000,384405.711,-0.000
5.205000,178715.867,10113.597,31137.8595,3503.1783,31334.3031,179001.804,205938.558,0.000,0.000,384405.936,0.000
5.305000,181852.394,10131.470,31122.2141,3501.4869,31318.5668,182134.400,202806.996,0.000,0.000,384406.167,0.000
5.405000,184987.575,10143.211,31107.1064,3499.8512,31303.3708,185265.452,199676.621,0.000,0.000,384406.401,0.000
5.505000,188121.454,10148.827,31092.5096,3498.2686,31288.6886,188395.011,196547.381,0.000,0.000,384406.640,0.000
5.605000,191254.072,10148.323,31078.3990,3496.7364,31274.4952,191523.128,193419.227,0.000,0.000,384406.884,0.000
5.705000,194385.467,10141.707,31064.7514,3495.2522,31260.7672,194649.850,190292.110,0.000,0.000,384407.131,0.000
5.805000,197515.676,10128.983,31051.5452,3493.8139,31247.4830,197775.223,187165.987,0.000,0.000,384407.384,0.000
5.905000,200644.734,10110.157,31038.7602,3492.4193,31234.6222,200899.289,184040.813,0.000,0.000,384407.640,0.000
6.005000,203772.672,10085.235,31026.3774,3491.0663,31222.1658,204022.092,180916.549,0.000,0.000,384407.901,0.000
6.105000,206899.522,10054.223,31014.3792,3489.7533,31210.0961,207143.669,177793.156,0.000,0.000,384408.166,0.000
6.205000,210025.311,10017.124,31002.7489,3488.4783,31198.3961,210264.058,174670.595,0.000,0.000,384408.436,0.000
