# Spacecraft Trajectory — jupiter-io (Jupiter-Io)
time_h,x_km,y_km,vx_kmh,vy_kmh,speed_kmh,dist_Jupiter_km,dist_Io_km,bx_Jupiter_km,by_Jupiter_km,bx_Io_km,by_Io_km
0.861000,159487.523,125829.273,62400.2869,-76980.9398,99095.2113,203148.409,290929.833,0.000,0.000,421798.716,-0.000
0.881000,160890.115,123663.401,61839.9271,-77547.0067,99185.2552,202924.286,288731.542,0.000,0.000,421798.656,-0.000
0.901000,162268.608,121480.666,61272.8532,-78108.8345,99274.1284,202703.363,286554.298,0.000,0.000,421798.594,0.000
0.921000,163622.765,119281.333,60699.0970,-78666.3201,99361.8150,202485.668,284398.949,0.000,0.000,421798.531,0.000
0.941000,164952.353,117065.669,60118.6924,-79219.3606,99448.2994,202271.228,282266.358,0.000,0.000,421798.467,-0.000
0.961000,166257.140,114833.948,59531.6752,-79767.8530,99533.5658,202060.071,280157.405,0.000,0.000,421798.401,-0.000
0.981000,167536.899,112586.446,58938.0834,-80311.6945,99617.5986,201852.224,278072.985,0.000,0.000,421798.334,0.000
1.001000,168791.405,110323.443,58337.9569,-80850.7823,99700.3823,201647.714,276014.009,0.000,0.000,421798.265,0.000
1.021000,170020.438,108045.223,57731.3377,-81385.0141,99781.9015,201446.567,273981.403,0.000,0.000,421798.195,0.000
1.041000,171223.779,105752.074,57118.2698,-81914.2875,99862.1411,201248.811,271976.109,0.000,0.000,421798.124,0.000
1.061000,172401.215,103444.288,56498.7992,-82438.5004,99941.0860,201054.469,269999.080,0.000,0.000,421798.051,0.000
1.081000,173552.534,101122.161,55872.9742,-82957.5513,100018.7210,200863.569,268051.285,0.000,0.000,421797.977,0.000
1.101000,174677.530,98785.990,55240.8449,-83471.3388,100095.0316,200676.136,266133.707,0.000,0.000,421797.902,0.000
1.121000,175776.001,96436.080,54602.4636,-83979.7621,100170.0028,200492.194,264247.338,0.000,0.000,421797.825,0.000
1.141000,176847.745,94072.736,53957.8848,-84482.7207,100243.6204,200311.768,262393.184,0.000,0.000,421797.747,0.000
1.161000,177892.568,91696.268,53307.1648,-84980.1150,100315.8699,200134.883,260572.261,0.000,0.000,421797.668,0.000
1.181000,178910.279,89306.989,52650.3623,-85471.8455,100386.7372,199961.562,258785.592,0.000,0.000,421797.587,0.000
1.201000,179900.689,86905.217,51987.5377,-85957.8136,100456.2084,199791.829,257034.212,0.000,0.000,421797.505,0.000
1.221000,180863.617,84491.271,51318.7537,-86437.9215,100524.2695,199625.706,255319.159,0.000,0.000,421797.421,0.000
1.241000,181798.881,82065.475,50644.0751,-86912.0720,100590.9071,199463.218,253641.480,0.000,0.000,421797.336,-0.000
1.261000,182706.308,79628.155,49963.5687,-87380.1685,100656.1078,199304.386,252002.225,0.000,0.000,421797.250,-0.000
1.281000,183585.728,77179.641,49277.3032,-87842.1156,100719.8584,199149.231,250402.445,0.000,0.000,421797.162,0.000
1.301000,184436.973,74720.266,48585.3496,-88297.8186,100782.1460,198997.776,248843.194,0.000,0.000,421797.073,0.000
1.321000,185259.882,72250.365,47887.7806,-88747.1837,100842.9579,198850.042,247325.525,0.000,0.000,421796.983,0.000
1.341000,186054.299,69770.279,47184.6713,-89190.1183,100902.2815,198706.049,245850.486,0.000,0.000,421796.891,0.000
1.361000,186820.071,67280.348,46476.0985,-89626.5307,100960.1047,198565.818,244419.123,0.000,0.000,421796.798,-0.000
1.381000,187557.049,64780.917,45762.1410,-90056.3304,101016.4154,198429.368,243032.473,0.000,0.000,421796.704,0.000
1.401000,188265.092,62272.333,45042.8797,-90479.4279,101071.2020,198296.718,241691.564,0.000,0.000,421796.608,0.000
1.421000,188944.061,59754.947,44318.3973,-90895.7350,101124.4529,198167.888,240397.415,0.000,0.000,421796.511,0.000
1.441000,189593.822,57229.110,43588.7786,-91305.1648,101176.1570,198042.895,239151.028,0.000,0.000,421796.412,-0.000
1.461000,190214.247,54695.179,42854.1101,-91707.6318,101226.3033,197921.758,237953.389,0.000,0.000,421796.312,0.000
1.481000,190805.213,52153.510,42114.4802,-92103.0516,101274.8812,197804.494,236805.468,0.000,0.000,421796.211,0.000
1.501000,191366.601,49604.463,41369.9793,-92491.3415,101321.8803,197691.120,235708.210,0.000,0.000,421796.108,0.000
1.521000,191898.299,47048.400,40620.6995,-92872.4200,101367.2907,197581.651,234662.539,0.000,0.000,421796.004,0.000
1.541000,192400.197,44485.686,39866.7346,-93246.2072,101411.1024,197476.105,233669.348,0.000,0.000,421795.899,0.000
1.561000,192872.193,41916.687,39108.1803,-93612.6249,101453.3061,197374.496,232729.506,0.000,0.000,421795.792,0.000
1.581000,193314.190,39341.770,38345.1340,-93971.5965,101493.8926,197276.839,231843.844,0.000,0.000,421795.684,0.000
1.601000,193726.096,36761.307,37577.6948,-94323.0467,101532.8532,197183.148,231013.162,0.000,0.000,421795.575,0.000
1.621000,194107.822,34175.668,36805.9632,-94666.9023,101570.1793,197093.437,230238.222,0.000,0.000,421795.464,0.000
1.641000,194459.288,31585.229,36030.0418,-95003.0918,101605.8628,197007.719,229519.744,0.000,0.000,421795.352,0.000
1.661000,194780.417,28990.363,35250.0343,-95331.5452,101639.8958,196926.007,228858.406,0.000,0.000,421795.239,0.000
1.681000,195071.140,26391.448,34466.0462,-95652.1946,101672.2709,196848.312,228254.843,0.000,0.000,421795.124,-0.000
1.701000,195331.390,23788.861,33678.1844,-95964.9739,101702.9809,196774.647,227709.640,0.000,0.000,421795.008,-0.000
1.721000,195561.108,21182.983,32886.5574,-96269.8189,101732.0190,196705.022,227223.334,0.000,0.000,421794.890,0.000
1.741000,195760.239,18574.193,32091.2749,-96566.6674,101759.3789,196639.447,226796.407,0.000,0.000,421794.772,-0.000
1.761000,195928.737,15962.874,31292.4480,-96855.4592,101785.0543,196577.932,226429.293,0.000,0.000,421794.652,0.000
1.781000,196066.557,13349.408,30490.1893,-97136.1359,101809.0396,196520.486,226122.366,0.000,0.000,421794.530,0.000
1.801000,196173.662,10734.180,29684.6124,-97408.6416,101831.3295,196467.118,225875.946,0.000,0.000,421794.407,0.000
1.821000,196250.022,8117.572,28875.8324,-97672.9221,101851.9190,196417.836,225690.294,0.000,0.000,421794.283,0.000
1.841000,196295.610,5499.971,28063.9653,-97928.9254,101870.8034,196372.646,225565.610,0.000,0.000,421794.158,0.000
1.861000,196310.406,2881.763,27249.1284,-98176.6020,101887.9786,196331.557,225502.039,0.000,0.000,421794.031,0.000
1.881000,196294.397,263.332,26431.4399,-98415.9041,101903.4406,196294.573,225499.660,0.000,0.000,421793.903,0.000
1.901000,196247.572,-2354.933,25611.0192,-98646.7866,101917.1860,196261.701,225558.494,0.000,0.000,421793.773,0.000
1.921000,196169.931,-4972.647,24787.9866,-98869.2062,101929.2118,196232.945,225678.503,0.000,0.000,421793.642,0.000
1.941000,196061.474,-7589.422,23962.4632,-99083.1223,101939.5152,196208.310,225859.583,0.000,0.000,421793.510,-0.000
1.961000,195922.213,-10204.871,23134.5711,-99288.4962,101948.0939,196187.800,226101.575,0.000,0.000,421793.377,0.000
1.981000,195752.160,-12818.607,22304.4329,-99485.2918,101954.9460,196171.417,226404.257,0.000,0.000,421793.242,0.000
2.001000,195551.336,-15430.244,21472.1724,-99673.4753,101960.0699,196159.163,226767.350,0.000,0.000,421793.106,0.000
2.021000,195319.767,-18039.394,20637.9136,-99853.0151,101963.4646,196151.042,227190.516,0.000,0.000,421792.968,0.000
2.041000,195057.485,-20645.673,19801.7814,-100023.8822,101965.1291,196147.053,227673.363,0.000,0.000,421792.829,0.000
2.061000,194764.528,-23248.693,18963.9012,-100186.0498,101965.0633,196147.198,228215.441,0.000,0.000,421792.689,0.000
2.081000,194440.940,-25848.070,18124.3989,-100339.4937,101963.2671,196151.476,228816.251,0.000,0.000,421792.548,0.000
2.101000,194086.768,-28443.420,17283.4007,-100484.1919,101959.7409,196159.888,229475.239,0.000,0.000,421792.405,-0.000
2.121000,193702.068,-31034.359,16441.0333,-100620.1250,101954.4856,196172.431,230191.806,0.000,0.000,421792.261,0.000
2.141000,193286.901,-33620.505,15597.4238,-100747.2759,101947.5023,196189.103,230965.304,0.000,0.000,421792.116,0.000
2.161000,192841.332,-36201.475,14752.6994,-100865.6301,101938.7928,196209.903,231795.041,0.000,0.000,421791.969,0.000
2.181000,192365.434,-38776.889,13906.9876,-100975.1753,101928.3588,196234.827,232680.283,0.000,0.000,421791.821,0.000
2.201000,191859.284,-41346.368,13060.4158,-101075.9019,101916.2029,196263.871,233620.258,0.000,0.000,421791.671,-0.000
2.221000,191322.966,-43909.535,12213.1119,-101167.8027,101902.3277,196297.031,234614.156,0.000,0.000,421791.521,0.000
2.241000,190756.568,-46466.011,11365.2034,-101250.8727,101886.7365,196334.302,235661.133,0.000,0.000,421791.369,0.000
2.261000,190160.184,-49015.424,10516.8180,-101325.1097,101869.4327,196375.679,236760.315,0.000,0.000,421791.215,0.000
2.281000,189533.914,-51557.399,9668.0831,-101390.5138,101850.4203,196421.154,237910.798,0.000,0.000,421791.061,0.000
2.301000,188877.864,-54091.564,8819.1262,-101447.0873,101829.7035,196470.722,239111.652,0.000,0.000,421790.905,0.000
2.321000,188192.144,-56617.550,7970.0743,-101494.8353,101807.2869,196524.375,240361.924,0.000,0.000,421790.748,0.000
2.341000,187476.871,-59134.990,7121.0542,-101533.7651,101783.1757,196582.105,241660.641,0.000,0.000,421790.589,0.000
2.361000,186732.166,-61643.516,6272.1924,-101563.8864,101757.3752,196643.904,243006.811,0.000,0.000,421790.429,0.000
2.381000,185958.156,-64142.767,5423.6149,-101585.2113,101729.8912,196709.761,244399.427,0.000,0.000,421790.268,0.000
2.401000,185154.972,-66632.380,4575.4475,-101597.7544,101700.7297,196779.668,245837.467,0.000,0.000,421790.106,0.000
2.421000,184322.753,-69111.996,3727.8150,-101601.5325,101669.8972,196853.614,247319.901,0.000,0.000,421789.942,0.000
2.441000,183461.641,-71581.259,2880.8421,-101596.5647,101637.4007,196931.589,248845.689,0.000,0.000,421789.777,0.000
2.461000,182571.784,-74039.815,2034.6525,-101582.8727,101603.2471,197013.579,250413.783,0.000,0.000,421789.611,0.000
2.481000,181653.333,-76487.311,1189.3695,-101560.4801,101567.4442,197099.575,252023.134,0.000,0.000,421789.443,0.000
2.501000,180706.448,-78923.400,345.1155,-101529.4131,101529.9996,197189.562,253672.687,0.000,0.000,421789.274,0.000
2.521000,179731.290,-81347.735,-497.9878,-101489.6999,101490.9217,197283.528,255361.389,0.000,0.000,421789.104,0.000
2.541000,178728.027,-83759.972,-1339.8198,-101441.3711,101450.2188,197381.459,257088.189,0.000,0.000,421788.932,0.000
2.561000,177696.831,-86159.772,-2180.2606,-101384.4595,101407.8999,197483.341,258852.035,0.000,0.000,421788.759,0.000
2.581000,176637.879,-88546.797,-3019.1911,-101318.9998,101363.9741,197589.159,260651.883,0.000,0.000,421788.585,0.000
2.601000,175551.354,-90920.714,-3856.4935,-101245.0292,101318.4508,197698.897,262486.693,0.000,0.000,421788.410,-0.000
2.621000,174437.440,-93281.190,-4692.0509,-101162.5867,101271.3399,197812.540,264355.433,0.000,0.000,421788.233,0.000
2.641000,173296.331,-95627.898,-5525.7475,-101071.7136,101222.6514,197930.072,266257.079,0.000,0.000,421788.055,0.000
2.661000,172128.220,-97960.515,-6357.4687,-100972.4529,101172.3957,198051.474,268190.616,0.000,0.000,421787.876,0.000
2.681000,170933.307,-100278.718,-7187.1010,-100864.8500,101120.5834,198176.731,270155.039,0.000,0.000,421787.695,0.000
2.701000,169711.798,-102582.190,-8014.5321,-100748.9520,101067.2255,198305.824,272149.357,0.000,0.000,421787.514,0.000
2.721000,168463.899,-104870.618,-8839.6512,-100624.8081,101012.3331,198438.735,274172.587,0.000,0.000,421787.331,-0.000
